Lead ID,Location,College,Year of Study,Program Interest,Lead Source,Converted
LD2386,Surat,PQR University,2nd,Electric Vehicle,LinkedIn,0
LD2387,Ahmedabad,LMN College,3rd,Data Science,College Collaboration,0
LD2388,Mumbai,ABC Institute,2nd,AI,Instagram,0
LD2389,Mumbai,LMN College,2nd,Electric Vehicle,LinkedIn,1
LD2390,Delhi,ABC Institute,1st,Robotics,LinkedIn,0
LD2391,Bangalore,ABC Institute,2nd,AI,Mass-Mailing,0
LD2392,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Instagram,0
LD2393,Surat,PQR University,3rd,Data Science,Instagram,0
LD2394,Surat,ABC Institute,3rd,Robotics,Whatsapp,0
LD2395,Ahmedabad,LMN College,1st,Data Science,Instagram,1
LD2396,Ahmedabad,LMN College,2nd,Data Science,Instagram,0
LD2397,Mumbai,XYZ University,3rd,Data Science,Instagram,0
LD2398,Delhi,XYZ University,4th,Electric Vehicle,Whatsapp,0
LD2399,Surat,PQR University,4th,AI,Whatsapp,0
LD2400,Ahmedabad,ABC Institute,1st,Electric Vehicle,College Collaboration,0
LD2401,Bangalore,PQR University,2nd,Electric Vehicle,College Collaboration,0
LD2402,Surat,LMN College,1st,Electric Vehicle,LinkedIn,0
LD2403,Delhi,XYZ University,2nd,Robotics,LinkedIn,0
LD2404,Ahmedabad,XYZ University,4th,Robotics,Google Form,0
LD2405,Ahmedabad,XYZ University,4th,AI,Instagram,0
LD2406,Mumbai,PQR University,1st,Data Science,Mass-Mailing,0
LD2407,Ahmedabad,XYZ University,3rd,Electric Vehicle,Mass-Mailing,0
LD2408,Surat,PQR University,4th,Electric Vehicle,College Collaboration,0
LD2409,Delhi,LMN College,3rd,Electric Vehicle,College Collaboration,1
LD2410,Mumbai,PQR University,2nd,Electric Vehicle,LinkedIn,0
LD2411,Surat,PQR University,2nd,Data Science,Instagram,0
LD2412,Delhi,PQR University,2nd,AI,Google Form,0
LD2413,Delhi,PQR University,3rd,Robotics,Google Form,0
LD2414,Mumbai,ABC Institute,3rd,AI,College Collaboration,0
LD2415,Mumbai,LMN College,4th,AI,Whatsapp,0
LD2416,Delhi,PQR University,1st,Electric Vehicle,College Collaboration,1
LD2417,Delhi,ABC Institute,4th,Data Science,College Collaboration,0
LD2418,Surat,PQR University,4th,Data Science,Google Form,0
LD2419,Delhi,ABC Institute,4th,AI,College Collaboration,0
LD2420,Ahmedabad,XYZ University,4th,Robotics,Google Form,0
LD2421,Bangalore,LMN College,2nd,AI,College Collaboration,0
LD2422,Mumbai,ABC Institute,2nd,AI,Instagram,0
LD2423,Bangalore,ABC Institute,2nd,Data Science,Google Form,1
LD2424,Mumbai,PQR University,1st,AI,Google Form,0
LD2425,Delhi,PQR University,1st,Robotics,Mass-Mailing,0
LD2426,Ahmedabad,LMN College,2nd,AI,LinkedIn,1
LD2427,Surat,XYZ University,1st,Electric Vehicle,College Collaboration,0
LD2428,Delhi,LMN College,4th,Electric Vehicle,Mass-Mailing,1
LD2429,Ahmedabad,XYZ University,1st,AI,LinkedIn,0
LD2430,Surat,XYZ University,1st,Robotics,Instagram,1
LD2431,Ahmedabad,ABC Institute,1st,AI,Google Form,0
LD2432,Mumbai,LMN College,3rd,AI,LinkedIn,1
LD2433,Bangalore,XYZ University,1st,Electric Vehicle,LinkedIn,1
LD2434,Delhi,ABC Institute,2nd,AI,LinkedIn,0
LD2435,Surat,LMN College,4th,Electric Vehicle,Instagram,1
LD2436,Ahmedabad,LMN College,1st,AI,College Collaboration,0
LD2437,Delhi,XYZ University,3rd,Robotics,Instagram,0
LD2438,Mumbai,LMN College,1st,Robotics,LinkedIn,0
LD2439,Mumbai,ABC Institute,1st,Robotics,Mass-Mailing,0
LD2440,Surat,PQR University,1st,Electric Vehicle,LinkedIn,0
LD2441,Delhi,PQR University,2nd,Robotics,Whatsapp,0
LD2442,Ahmedabad,PQR University,3rd,AI,Mass-Mailing,0
LD2443,Bangalore,ABC Institute,2nd,Electric Vehicle,Google Form,1
LD2444,Surat,XYZ University,3rd,Robotics,LinkedIn,1
LD2445,Bangalore,XYZ University,1st,AI,Mass-Mailing,0
LD2446,Mumbai,XYZ University,3rd,Electric Vehicle,Whatsapp,0
LD2447,Ahmedabad,LMN College,2nd,Robotics,LinkedIn,0
LD2448,Surat,PQR University,4th,AI,Instagram,0
LD2449,Surat,XYZ University,2nd,Electric Vehicle,Whatsapp,0
LD2450,Bangalore,XYZ University,3rd,Electric Vehicle,Instagram,0
LD2451,Mumbai,LMN College,3rd,Robotics,Mass-Mailing,0
LD2452,Bangalore,ABC Institute,2nd,AI,Instagram,1
LD2453,Mumbai,LMN College,3rd,Electric Vehicle,Instagram,0
LD2454,Surat,LMN College,3rd,Electric Vehicle,Mass-Mailing,0
LD2455,Mumbai,XYZ University,3rd,Data Science,Google Form,0
LD2456,Delhi,ABC Institute,1st,Robotics,LinkedIn,0
LD2457,Mumbai,LMN College,4th,Data Science,Whatsapp,0
LD2458,Delhi,XYZ University,1st,Electric Vehicle,Instagram,0
LD2459,Surat,LMN College,2nd,Data Science,College Collaboration,0
LD2460,Surat,LMN College,3rd,Electric Vehicle,Instagram,0
LD2461,Delhi,PQR University,4th,Electric Vehicle,Mass-Mailing,1
LD2462,Bangalore,ABC Institute,1st,Robotics,Mass-Mailing,1
LD2463,Bangalore,ABC Institute,2nd,Robotics,Google Form,0
LD2464,Ahmedabad,XYZ University,1st,Robotics,College Collaboration,0
LD2465,Ahmedabad,ABC Institute,4th,AI,LinkedIn,0
LD2466,Surat,PQR University,4th,AI,Whatsapp,0
LD2467,Delhi,XYZ University,2nd,AI,Mass-Mailing,0
LD2468,Mumbai,PQR University,1st,Data Science,LinkedIn,0
LD2469,Bangalore,PQR University,3rd,Electric Vehicle,Instagram,0
LD2470,Ahmedabad,PQR University,1st,Robotics,LinkedIn,0
LD2471,Surat,XYZ University,3rd,Electric Vehicle,Whatsapp,0
LD2472,Surat,LMN College,4th,AI,Mass-Mailing,1
LD2473,Surat,PQR University,1st,Data Science,Whatsapp,1
LD2474,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp,1
LD2475,Ahmedabad,XYZ University,1st,Electric Vehicle,College Collaboration,0
LD2476,Delhi,XYZ University,2nd,Electric Vehicle,Mass-Mailing,1
LD2477,Ahmedabad,ABC Institute,4th,Electric Vehicle,College Collaboration,0
LD2478,Mumbai,PQR University,1st,Electric Vehicle,Whatsapp,1
LD2479,Bangalore,XYZ University,3rd,Data Science,Instagram,0
LD2480,Mumbai,LMN College,2nd,Electric Vehicle,College Collaboration,1
LD2481,Delhi,XYZ University,4th,Data Science,LinkedIn,0
LD2482,Ahmedabad,LMN College,1st,Robotics,LinkedIn,1
LD2483,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram,1
LD2484,Mumbai,XYZ University,4th,Data Science,College Collaboration,0
LD2485,Bangalore,XYZ University,4th,Electric Vehicle,Mass-Mailing,0
LD2486,Surat,XYZ University,2nd,Robotics,Mass-Mailing,1
LD2487,Ahmedabad,LMN College,2nd,Robotics,Instagram,0
LD2488,Ahmedabad,PQR University,3rd,Electric Vehicle,College Collaboration,1
LD2489,Delhi,LMN College,3rd,AI,Google Form,0
LD2490,Surat,XYZ University,4th,AI,Whatsapp,0
LD2491,Ahmedabad,XYZ University,3rd,Electric Vehicle,College Collaboration,0
LD2492,Surat,PQR University,3rd,Data Science,Whatsapp,0
LD2493,Mumbai,ABC Institute,3rd,AI,Google Form,1
LD2494,Mumbai,XYZ University,3rd,Robotics,Whatsapp,0
LD2495,Bangalore,ABC Institute,3rd,Electric Vehicle,College Collaboration,0
LD2496,Delhi,PQR University,4th,Robotics,Google Form,0
LD2497,Mumbai,ABC Institute,4th,Robotics,Instagram,0
LD2498,Bangalore,XYZ University,2nd,Data Science,Mass-Mailing,1
LD2499,Bangalore,ABC Institute,4th,Electric Vehicle,Instagram,1
LD2500,Delhi,LMN College,4th,Electric Vehicle,College Collaboration,0
LD2501,Ahmedabad,PQR University,2nd,Robotics,LinkedIn,1
LD2502,Ahmedabad,LMN College,2nd,Robotics,Google Form,1
LD2503,Ahmedabad,LMN College,2nd,AI,Google Form,0
LD2504,Ahmedabad,LMN College,2nd,Data Science,Google Form,1
LD2505,Delhi,XYZ University,3rd,AI,Instagram,0
LD2506,Bangalore,XYZ University,1st,AI,College Collaboration,0
LD2507,Mumbai,ABC Institute,4th,AI,Instagram,1
LD2508,Delhi,LMN College,4th,Electric Vehicle,Google Form,0
LD2509,Mumbai,LMN College,4th,AI,Instagram,1
LD2510,Delhi,LMN College,4th,Data Science,College Collaboration,1
LD2511,Delhi,ABC Institute,1st,Robotics,College Collaboration,0
LD2512,Delhi,PQR University,3rd,Electric Vehicle,Mass-Mailing,1
LD2513,Surat,LMN College,1st,AI,College Collaboration,0
LD2514,Delhi,ABC Institute,3rd,Electric Vehicle,College Collaboration,0
LD2515,Bangalore,LMN College,1st,AI,Mass-Mailing,0
LD2516,Bangalore,ABC Institute,4th,Electric Vehicle,Mass-Mailing,1
LD2517,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD2518,Mumbai,LMN College,4th,AI,Google Form,0
LD2519,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Google Form,0
LD2520,Delhi,PQR University,4th,AI,College Collaboration,1
LD2521,Delhi,ABC Institute,1st,Electric Vehicle,Google Form,0
LD2522,Delhi,ABC Institute,3rd,Data Science,Mass-Mailing,0
LD2523,Bangalore,PQR University,2nd,Robotics,LinkedIn,0
LD2524,Delhi,PQR University,3rd,Electric Vehicle,Mass-Mailing,0
LD2525,Ahmedabad,ABC Institute,4th,Data Science,Mass-Mailing,1
LD2526,Delhi,XYZ University,3rd,Electric Vehicle,Instagram,0
LD2527,Delhi,PQR University,2nd,Data Science,College Collaboration,0
LD2528,Surat,XYZ University,3rd,AI,Whatsapp,1
LD2529,Delhi,XYZ University,1st,AI,Instagram,0
LD2530,Ahmedabad,PQR University,4th,Electric Vehicle,College Collaboration,1
LD2531,Ahmedabad,XYZ University,1st,Data Science,LinkedIn,0
LD2532,Bangalore,XYZ University,3rd,Data Science,Mass-Mailing,1
LD2533,Mumbai,PQR University,1st,Data Science,College Collaboration,0
LD2534,Delhi,LMN College,2nd,AI,Instagram,0
LD2535,Bangalore,PQR University,3rd,Data Science,Mass-Mailing,1
LD2536,Delhi,XYZ University,2nd,AI,College Collaboration,1
LD2537,Delhi,ABC Institute,4th,Data Science,Instagram,1
LD2538,Mumbai,ABC Institute,3rd,Data Science,LinkedIn,0
LD2539,Delhi,ABC Institute,2nd,Robotics,Mass-Mailing,1
LD2540,Delhi,PQR University,2nd,AI,Google Form,1
LD2541,Ahmedabad,ABC Institute,1st,Data Science,Instagram,0
LD2542,Delhi,XYZ University,3rd,Data Science,Instagram,1
LD2543,Surat,ABC Institute,3rd,Robotics,College Collaboration,1
LD2544,Mumbai,LMN College,4th,AI,LinkedIn,0
LD2545,Mumbai,XYZ University,3rd,Data Science,Mass-Mailing,0
LD2546,Mumbai,PQR University,2nd,Data Science,College Collaboration,0
LD2547,Surat,LMN College,2nd,AI,College Collaboration,0
LD2548,Delhi,XYZ University,2nd,AI,Mass-Mailing,0
LD2549,Surat,XYZ University,1st,Electric Vehicle,LinkedIn,0
LD2550,Delhi,LMN College,1st,Electric Vehicle,LinkedIn,0
LD2551,Bangalore,XYZ University,4th,Data Science,Mass-Mailing,0
LD2552,Mumbai,XYZ University,2nd,AI,Instagram,0
LD2553,Delhi,ABC Institute,4th,Robotics,Google Form,1
LD2554,Ahmedabad,XYZ University,4th,Electric Vehicle,College Collaboration,1
LD2555,Delhi,XYZ University,2nd,Robotics,College Collaboration,0
LD2556,Mumbai,PQR University,3rd,Electric Vehicle,College Collaboration,1
LD2557,Delhi,XYZ University,1st,Robotics,Google Form,0
LD2558,Ahmedabad,LMN College,4th,Robotics,Mass-Mailing,0
LD2559,Mumbai,ABC Institute,4th,Robotics,Mass-Mailing,0
LD2560,Mumbai,XYZ University,4th,Electric Vehicle,Google Form,0
LD2561,Ahmedabad,XYZ University,2nd,Electric Vehicle,Whatsapp,1
LD2562,Delhi,LMN College,1st,AI,Google Form,1
LD2563,Bangalore,PQR University,4th,AI,LinkedIn,0
LD2564,Delhi,PQR University,1st,Data Science,College Collaboration,0
LD2565,Bangalore,XYZ University,2nd,Robotics,LinkedIn,0
LD2566,Surat,LMN College,1st,AI,Instagram,0
LD2567,Mumbai,LMN College,4th,Electric Vehicle,LinkedIn,0
LD2568,Mumbai,PQR University,3rd,Data Science,Whatsapp,0
LD2569,Delhi,PQR University,2nd,AI,Mass-Mailing,1
LD2570,Surat,PQR University,1st,Electric Vehicle,Instagram,1
LD2571,Ahmedabad,LMN College,1st,Data Science,Instagram,0
LD2572,Ahmedabad,XYZ University,1st,Data Science,Mass-Mailing,1
LD2573,Ahmedabad,LMN College,3rd,Electric Vehicle,College Collaboration,0
LD2574,Delhi,ABC Institute,2nd,Data Science,Google Form,0
LD2575,Delhi,LMN College,1st,Electric Vehicle,Google Form,0
LD2576,Mumbai,PQR University,4th,Data Science,LinkedIn,0
LD2577,Ahmedabad,PQR University,2nd,AI,LinkedIn,1
LD2578,Mumbai,ABC Institute,1st,Robotics,LinkedIn,0
LD2579,Surat,LMN College,3rd,Data Science,Instagram,0
LD2580,Bangalore,LMN College,2nd,Data Science,Whatsapp,0
LD2581,Surat,LMN College,3rd,Data Science,Mass-Mailing,0
LD2582,Bangalore,ABC Institute,1st,Data Science,Google Form,1
LD2583,Bangalore,PQR University,1st,AI,LinkedIn,0
LD2584,Delhi,PQR University,3rd,Electric Vehicle,Mass-Mailing,0
LD2585,Ahmedabad,LMN College,3rd,Electric Vehicle,College Collaboration,0
LD2586,Ahmedabad,XYZ University,2nd,AI,Mass-Mailing,0
LD2587,Surat,XYZ University,2nd,Robotics,College Collaboration,0
LD2588,Surat,LMN College,2nd,Electric Vehicle,Whatsapp,0
LD2589,Mumbai,LMN College,2nd,Robotics,LinkedIn,0
LD2590,Bangalore,PQR University,3rd,AI,College Collaboration,1
LD2591,Delhi,PQR University,3rd,AI,Whatsapp,1
LD2592,Ahmedabad,ABC Institute,1st,Data Science,LinkedIn,1
LD2593,Ahmedabad,ABC Institute,4th,Robotics,Instagram,0
LD2594,Mumbai,ABC Institute,1st,Robotics,LinkedIn,0
LD2595,Delhi,XYZ University,2nd,Data Science,Instagram,0
LD2596,Surat,ABC Institute,4th,AI,Instagram,1
LD2597,Ahmedabad,ABC Institute,1st,Electric Vehicle,LinkedIn,0
LD2598,Bangalore,PQR University,2nd,Robotics,Google Form,0
LD2599,Delhi,ABC Institute,3rd,Data Science,Google Form,0
LD2600,Delhi,ABC Institute,2nd,Robotics,Mass-Mailing,0
LD2601,Ahmedabad,PQR University,2nd,Robotics,Instagram,0
LD2602,Bangalore,ABC Institute,1st,Robotics,LinkedIn,0
LD2603,Ahmedabad,LMN College,1st,Electric Vehicle,Mass-Mailing,1
LD2604,Delhi,ABC Institute,1st,Robotics,Whatsapp,0
LD2605,Bangalore,ABC Institute,2nd,Data Science,Instagram,0
LD2606,Ahmedabad,PQR University,2nd,Robotics,LinkedIn,0
LD2607,Bangalore,ABC Institute,2nd,AI,Mass-Mailing,0
LD2608,Surat,LMN College,2nd,Robotics,College Collaboration,0
LD2609,Bangalore,ABC Institute,3rd,AI,Google Form,1
LD2610,Delhi,PQR University,4th,Electric Vehicle,Whatsapp,0
LD2611,Ahmedabad,ABC Institute,4th,Robotics,Mass-Mailing,1
LD2612,Bangalore,PQR University,1st,Robotics,College Collaboration,0
LD2613,Bangalore,LMN College,1st,AI,Google Form,0
LD2614,Bangalore,PQR University,4th,Data Science,College Collaboration,1
LD2615,Ahmedabad,ABC Institute,4th,Data Science,Whatsapp,0
LD2616,Mumbai,PQR University,1st,Data Science,LinkedIn,0
LD2617,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp,0
LD2618,Bangalore,LMN College,2nd,Robotics,College Collaboration,0
LD2619,Surat,XYZ University,1st,Data Science,Whatsapp,1
LD2620,Surat,ABC Institute,4th,AI,College Collaboration,0
LD2621,Surat,PQR University,1st,AI,LinkedIn,1
LD2622,Delhi,PQR University,2nd,Data Science,Whatsapp,1
LD2623,Delhi,LMN College,2nd,Data Science,College Collaboration,0
LD2624,Bangalore,LMN College,2nd,Robotics,Mass-Mailing,1
LD2625,Surat,ABC Institute,2nd,AI,College Collaboration,0
LD2626,Bangalore,ABC Institute,1st,Robotics,Instagram,1
LD2627,Surat,LMN College,3rd,Data Science,College Collaboration,0
LD2628,Delhi,XYZ University,1st,Robotics,Google Form,0
LD2629,Bangalore,LMN College,4th,Robotics,Whatsapp,0
LD2630,Surat,LMN College,4th,AI,Instagram,0
LD2631,Surat,XYZ University,1st,Electric Vehicle,Mass-Mailing,0
LD2632,Bangalore,LMN College,1st,Data Science,Whatsapp,1
LD2633,Delhi,ABC Institute,1st,Electric Vehicle,LinkedIn,0
LD2634,Bangalore,PQR University,3rd,AI,Mass-Mailing,0
LD2635,Ahmedabad,LMN College,1st,Data Science,Whatsapp,1
LD2636,Bangalore,XYZ University,1st,Robotics,Whatsapp,0
LD2637,Surat,LMN College,2nd,Electric Vehicle,College Collaboration,1
LD2638,Surat,XYZ University,2nd,Electric Vehicle,College Collaboration,1
LD2639,Mumbai,ABC Institute,3rd,Electric Vehicle,Whatsapp,1
LD2640,Surat,PQR University,4th,Data Science,LinkedIn,1
LD2641,Ahmedabad,PQR University,1st,Robotics,Mass-Mailing,0
LD2642,Mumbai,PQR University,1st,Robotics,College Collaboration,0
LD2643,Delhi,PQR University,4th,Robotics,Mass-Mailing,1
LD2644,Delhi,ABC Institute,4th,Data Science,Google Form,0
LD2645,Mumbai,PQR University,1st,Data Science,Instagram,0
LD2646,Mumbai,PQR University,1st,Robotics,Google Form,0
LD2647,Mumbai,LMN College,3rd,AI,Google Form,1
LD2648,Bangalore,LMN College,3rd,Robotics,College Collaboration,0
LD2649,Bangalore,ABC Institute,2nd,Robotics,Instagram,0
LD2650,Bangalore,PQR University,2nd,Data Science,College Collaboration,0
LD2651,Bangalore,LMN College,2nd,Robotics,LinkedIn,0
LD2652,Surat,LMN College,3rd,Electric Vehicle,Mass-Mailing,0
LD2653,Bangalore,LMN College,3rd,AI,Google Form,0
LD2654,Delhi,ABC Institute,4th,AI,Whatsapp,0
LD2655,Bangalore,ABC Institute,3rd,Data Science,College Collaboration,1
LD2656,Surat,PQR University,1st,Data Science,Google Form,0
LD2657,Surat,XYZ University,3rd,Robotics,Instagram,1
LD2658,Ahmedabad,LMN College,1st,AI,LinkedIn,1
LD2659,Bangalore,XYZ University,3rd,Electric Vehicle,Instagram,0
LD2660,Delhi,XYZ University,4th,Electric Vehicle,College Collaboration,0
LD2661,Bangalore,LMN College,1st,Data Science,Whatsapp,0
LD2662,Mumbai,ABC Institute,2nd,Robotics,Whatsapp,1
LD2663,Mumbai,LMN College,2nd,Data Science,Whatsapp,0
LD2664,Delhi,PQR University,1st,Electric Vehicle,Whatsapp,0
LD2665,Ahmedabad,LMN College,3rd,Robotics,Whatsapp,0
LD2666,Ahmedabad,XYZ University,3rd,Data Science,Google Form,0
LD2667,Bangalore,LMN College,1st,AI,Mass-Mailing,0
LD2668,Surat,LMN College,1st,Robotics,Whatsapp,0
LD2669,Ahmedabad,LMN College,1st,Data Science,Mass-Mailing,1
LD2670,Surat,PQR University,1st,Robotics,Instagram,0
LD2671,Bangalore,XYZ University,3rd,Data Science,Whatsapp,0
LD2672,Mumbai,PQR University,4th,Robotics,Mass-Mailing,0
LD2673,Bangalore,XYZ University,3rd,Electric Vehicle,LinkedIn,1
LD2674,Ahmedabad,PQR University,1st,Robotics,LinkedIn,0
LD2675,Surat,ABC Institute,3rd,Data Science,Mass-Mailing,1
LD2676,Surat,LMN College,2nd,AI,Mass-Mailing,0
LD2677,Ahmedabad,ABC Institute,4th,AI,Mass-Mailing,0
LD2678,Mumbai,PQR University,3rd,Robotics,LinkedIn,0
LD2679,Mumbai,XYZ University,1st,Electric Vehicle,Mass-Mailing,0
LD2680,Ahmedabad,ABC Institute,1st,Electric Vehicle,Google Form,0
LD2681,Surat,ABC Institute,1st,Robotics,Instagram,0
LD2682,Delhi,PQR University,4th,Electric Vehicle,Mass-Mailing,1
LD2683,Ahmedabad,PQR University,3rd,Data Science,Google Form,0
LD2684,Bangalore,LMN College,2nd,Robotics,LinkedIn,0
LD2685,Mumbai,PQR University,2nd,Robotics,Mass-Mailing,0
LD2686,Ahmedabad,LMN College,3rd,AI,Mass-Mailing,0
LD2687,Surat,ABC Institute,3rd,Electric Vehicle,Mass-Mailing,0
LD2688,Ahmedabad,LMN College,4th,Electric Vehicle,Instagram,0
LD2689,Surat,ABC Institute,4th,Robotics,Google Form,0
LD2690,Mumbai,ABC Institute,2nd,Electric Vehicle,College Collaboration,0
LD2691,Mumbai,ABC Institute,1st,Electric Vehicle,Instagram,0
LD2692,Mumbai,PQR University,3rd,Data Science,Google Form,0
LD2693,Surat,ABC Institute,3rd,Robotics,Mass-Mailing,0
LD2694,Ahmedabad,LMN College,4th,Data Science,Whatsapp,0
LD2695,Delhi,LMN College,4th,Electric Vehicle,College Collaboration,1
LD2696,Ahmedabad,LMN College,3rd,Electric Vehicle,Whatsapp,0
LD2697,Delhi,ABC Institute,4th,Data Science,Whatsapp,0
LD2698,Mumbai,XYZ University,4th,Robotics,LinkedIn,0
LD2699,Delhi,XYZ University,4th,AI,Mass-Mailing,1
LD2700,Mumbai,LMN College,4th,AI,College Collaboration,1
LD2701,Surat,PQR University,2nd,AI,LinkedIn,0
LD2702,Bangalore,ABC Institute,1st,Data Science,Mass-Mailing,1
LD2703,Ahmedabad,LMN College,1st,Data Science,LinkedIn,0
LD2704,Mumbai,XYZ University,3rd,AI,College Collaboration,0
LD2705,Mumbai,PQR University,3rd,Data Science,Whatsapp,1
LD2706,Mumbai,XYZ University,1st,AI,College Collaboration,1
LD2707,Mumbai,XYZ University,1st,Data Science,Google Form,0
LD2708,Ahmedabad,PQR University,3rd,Data Science,College Collaboration,0
LD2709,Surat,LMN College,2nd,Data Science,Instagram,0
LD2710,Bangalore,XYZ University,2nd,AI,Google Form,0
LD2711,Surat,XYZ University,4th,Data Science,Mass-Mailing,1
LD2712,Delhi,PQR University,1st,AI,Google Form,0
LD2713,Ahmedabad,PQR University,4th,AI,Mass-Mailing,0
LD2714,Delhi,XYZ University,3rd,Electric Vehicle,Whatsapp,0
LD2715,Ahmedabad,XYZ University,4th,Robotics,Google Form,0
LD2716,Delhi,PQR University,1st,Electric Vehicle,Google Form,0
LD2717,Delhi,PQR University,4th,Data Science,LinkedIn,0
LD2718,Bangalore,XYZ University,1st,AI,LinkedIn,1
LD2719,Surat,XYZ University,2nd,Robotics,Mass-Mailing,1
LD2720,Delhi,PQR University,4th,Robotics,LinkedIn,0
LD2721,Delhi,LMN College,2nd,Data Science,Whatsapp,1
LD2722,Bangalore,LMN College,4th,Electric Vehicle,LinkedIn,1
LD2723,Ahmedabad,XYZ University,4th,Robotics,Google Form,1
LD2724,Ahmedabad,LMN College,4th,Electric Vehicle,Google Form,0
LD2725,Delhi,ABC Institute,1st,Electric Vehicle,Instagram,0
LD2726,Surat,LMN College,2nd,Electric Vehicle,LinkedIn,0
LD2727,Ahmedabad,PQR University,1st,AI,LinkedIn,0
LD2728,Bangalore,ABC Institute,3rd,Robotics,Mass-Mailing,0
LD2729,Delhi,LMN College,4th,Robotics,Mass-Mailing,0
LD2730,Mumbai,PQR University,1st,Robotics,Whatsapp,0
LD2731,Bangalore,ABC Institute,1st,Data Science,Whatsapp,1
LD2732,Delhi,ABC Institute,3rd,AI,Whatsapp,0
LD2733,Delhi,XYZ University,2nd,Electric Vehicle,College Collaboration,0
LD2734,Ahmedabad,PQR University,3rd,Data Science,Instagram,1
LD2735,Bangalore,LMN College,4th,Robotics,College Collaboration,1
LD2736,Ahmedabad,LMN College,1st,AI,College Collaboration,1
LD2737,Surat,PQR University,4th,Data Science,Mass-Mailing,1
LD2738,Ahmedabad,PQR University,4th,AI,Mass-Mailing,0
LD2739,Bangalore,XYZ University,4th,Electric Vehicle,College Collaboration,1
LD2740,Bangalore,ABC Institute,4th,AI,Instagram,0
LD2741,Bangalore,ABC Institute,1st,Robotics,Instagram,0
LD2742,Ahmedabad,ABC Institute,1st,Electric Vehicle,Mass-Mailing,0
LD2743,Mumbai,LMN College,3rd,AI,College Collaboration,0
LD2744,Surat,ABC Institute,3rd,Electric Vehicle,Google Form,0
LD2745,Bangalore,XYZ University,1st,Robotics,LinkedIn,0
LD2746,Mumbai,ABC Institute,4th,Robotics,Instagram,1
LD2747,Mumbai,LMN College,1st,AI,Mass-Mailing,0
LD2748,Ahmedabad,PQR University,2nd,Electric Vehicle,Instagram,0
LD2749,Bangalore,LMN College,1st,AI,LinkedIn,1
LD2750,Mumbai,LMN College,1st,Electric Vehicle,LinkedIn,0
LD2751,Mumbai,LMN College,4th,Data Science,LinkedIn,0
LD2752,Surat,LMN College,4th,Electric Vehicle,Mass-Mailing,0
LD2753,Mumbai,XYZ University,4th,AI,Whatsapp,0
LD2754,Bangalore,ABC Institute,1st,Robotics,Whatsapp,0
LD2755,Mumbai,XYZ University,2nd,Electric Vehicle,Google Form,1
LD2756,Delhi,LMN College,1st,AI,College Collaboration,0
LD2757,Mumbai,LMN College,2nd,Electric Vehicle,Instagram,0
LD2758,Ahmedabad,ABC Institute,3rd,Robotics,LinkedIn,1
LD2759,Ahmedabad,ABC Institute,4th,AI,Whatsapp,1
LD2760,Delhi,XYZ University,4th,AI,Instagram,0
LD2761,Delhi,ABC Institute,1st,Robotics,Whatsapp,0
LD2762,Delhi,XYZ University,4th,Electric Vehicle,Mass-Mailing,0
LD2763,Mumbai,PQR University,2nd,Electric Vehicle,LinkedIn,0
LD2764,Delhi,LMN College,2nd,Data Science,Google Form,0
LD2765,Delhi,PQR University,1st,Electric Vehicle,Instagram,0
LD2766,Ahmedabad,LMN College,4th,Electric Vehicle,College Collaboration,1
LD2767,Surat,LMN College,3rd,Data Science,Instagram,0
LD2768,Mumbai,PQR University,4th,Data Science,College Collaboration,0
LD2769,Ahmedabad,ABC Institute,2nd,Data Science,Mass-Mailing,0
LD2770,Delhi,PQR University,4th,AI,Instagram,0
LD2771,Mumbai,XYZ University,2nd,AI,Google Form,0
LD2772,Bangalore,XYZ University,3rd,Data Science,Google Form,0
LD2773,Bangalore,PQR University,2nd,Robotics,Whatsapp,1
LD2774,Mumbai,PQR University,3rd,Electric Vehicle,Whatsapp,0
LD2775,Ahmedabad,XYZ University,2nd,Robotics,LinkedIn,0
LD2776,Mumbai,XYZ University,3rd,Electric Vehicle,LinkedIn,0
LD2777,Bangalore,LMN College,4th,Data Science,Mass-Mailing,0
LD2778,Bangalore,ABC Institute,4th,Robotics,Google Form,0
LD2779,Delhi,XYZ University,4th,AI,LinkedIn,0
LD2780,Delhi,LMN College,2nd,Robotics,LinkedIn,0
LD2781,Ahmedabad,XYZ University,3rd,Electric Vehicle,Whatsapp,0
LD2782,Ahmedabad,ABC Institute,1st,AI,Google Form,1
LD2783,Surat,XYZ University,1st,Data Science,LinkedIn,1
LD2784,Mumbai,LMN College,1st,Electric Vehicle,College Collaboration,1
LD2785,Bangalore,LMN College,4th,AI,Instagram,1
LD2786,Mumbai,XYZ University,2nd,Robotics,Google Form,0
LD2787,Mumbai,ABC Institute,1st,AI,Google Form,1
LD2788,Ahmedabad,PQR University,3rd,AI,Whatsapp,0
LD2789,Delhi,PQR University,3rd,Data Science,Whatsapp,1
LD2790,Surat,XYZ University,1st,Robotics,Google Form,1
LD2791,Surat,PQR University,4th,Electric Vehicle,Instagram,1
